experiment_id,category,instances,mean_iou,std_iou,min_iou,max_iou,mean_dice,std_dice,min_dice,max_dice,mean_mpa,std_mpa,mean_pixel_accuracy,std_pixel_accuracy,mean_inference_time_ms,std_inference_time_ms,mean_gpu_memory_mb,std_gpu_memory_mb
E1_base_box,Aislador,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4989,0.0009,0.994,0.0048,192.1678,214.8423,2224.1488,9.6242
E1_base_box,Cortacircuitos,49,0.0394,0.0938,0.0,0.3829,0.0633,0.1428,0.0,0.5538,0.523,0.055,0.9918,0.0071,123.2285,14.2333,2209.1573,120.7151
E1_base_box,Transformador,41,0.183,0.1898,0.0,0.6087,0.2704,0.2515,0.0,0.7568,0.6064,0.1036,0.973,0.0116,137.2695,100.5194,2227.5535,9.6177
E2_finetuned_box,Aislador,9,0.5655,0.1129,0.414,0.7063,0.7165,0.0937,0.5856,0.8279,0.8774,0.058,0.9973,0.0032,183.9066,188.7002,2224.1488,9.6242
E2_finetuned_box,Cortacircuitos,49,0.572,0.1745,0.1144,0.8572,0.7098,0.1667,0.2053,0.9231,0.8746,0.0644,0.9972,0.0022,123.4415,14.8218,2209.1573,120.7151
E2_finetuned_box,Transformador,41,0.7656,0.0544,0.6359,0.8481,0.8662,0.0355,0.7774,0.9178,0.9336,0.0235,0.9929,0.0049,135.797,88.2831,2227.5535,9.6177
E2_thr_035,Aislador,9,0.5721,0.1218,0.4164,0.7384,0.721,0.0992,0.588,0.8495,0.8939,0.0554,0.9972,0.0033,236.2986,350.4225,2224.1488,9.6242
E2_thr_035,Cortacircuitos,49,0.5756,0.1736,0.1266,0.8556,0.713,0.1653,0.2247,0.9222,0.8912,0.0591,0.9971,0.0023,121.965,18.568,2209.1573,120.7151
E2_thr_035,Transformador,41,0.767,0.0561,0.6421,0.8556,0.867,0.0364,0.7821,0.9222,0.9441,0.0223,0.9929,0.0048,144.933,164.2149,2227.5535,9.6177
E2_thr_040,Aislador,9,0.571,0.1191,0.4152,0.7293,0.7204,0.0976,0.5868,0.8435,0.8885,0.0562,0.9972,0.0033,185.2615,197.1817,2224.1488,9.6242
E2_thr_040,Cortacircuitos,49,0.5749,0.1738,0.1242,0.857,0.7123,0.1657,0.221,0.923,0.8857,0.0609,0.9972,0.0023,122.709,14.945,2209.1573,120.7151
E2_thr_040,Transformador,41,0.7671,0.0556,0.6446,0.8541,0.8671,0.0362,0.7839,0.9213,0.9406,0.0227,0.9929,0.0048,134.6998,92.2751,2227.5535,9.6177
E2_thr_045,Aislador,9,0.5681,0.1164,0.4144,0.7194,0.7183,0.0958,0.586,0.8368,0.8827,0.0573,0.9972,0.0032,172.6901,159.7852,2224.1488,9.6242
E2_thr_045,Cortacircuitos,49,0.5735,0.1741,0.1192,0.8581,0.7111,0.1662,0.213,0.9237,0.88,0.0626,0.9972,0.0022,121.8446,14.8444,2209.1573,120.7151
E2_thr_045,Transformador,41,0.7665,0.055,0.6439,0.8516,0.8668,0.0359,0.7834,0.9198,0.9371,0.0231,0.9929,0.0048,131.7602,74.7697,2227.5535,9.6177
E2_thr_050,Aislador,9,0.5655,0.1129,0.414,0.7063,0.7165,0.0937,0.5856,0.8279,0.8774,0.058,0.9973,0.0032,205.9454,258.3639,2224.1488,9.6242
E2_thr_050,Cortacircuitos,49,0.572,0.1745,0.1144,0.8572,0.7098,0.1667,0.2053,0.9231,0.8746,0.0644,0.9972,0.0022,122.7616,15.3428,2209.1573,120.7151
E2_thr_050,Transformador,41,0.7656,0.0544,0.6359,0.8481,0.8662,0.0355,0.7774,0.9178,0.9336,0.0235,0.9929,0.0049,139.2585,120.9801,2227.5535,9.6177
E2_thr_055,Aislador,9,0.5631,0.1097,0.4137,0.6938,0.7148,0.0915,0.5853,0.8192,0.8723,0.0591,0.9973,0.0031,183.8023,192.4007,2224.1488,9.6242
E2_thr_055,Cortacircuitos,49,0.57,0.1747,0.1088,0.8549,0.7081,0.1674,0.1963,0.9218,0.8689,0.0661,0.9973,0.0022,121.874,14.4529,2209.1573,120.7151
E2_thr_055,Transformador,41,0.7641,0.0538,0.6268,0.844,0.8652,0.0353,0.7706,0.9154,0.9299,0.024,0.9929,0.0049,134.6062,90.0478,2227.5535,9.6177
E3_finetuned_point,Aislador,9,0.1885,0.089,0.066,0.2806,0.3085,0.1304,0.1238,0.4382,0.6678,0.1298,0.9957,0.0027,184.1729,188.5973,2224.1493,9.6242
E3_finetuned_point,Cortacircuitos,49,0.1931,0.1627,0.0,0.6064,0.2954,0.2134,0.0,0.755,0.6571,0.1206,0.9933,0.0052,123.4858,14.529,2209.1578,120.7151
E3_finetuned_point,Transformador,41,0.2599,0.1833,0.0078,0.6411,0.3811,0.2239,0.0155,0.7813,0.642,0.1076,0.9788,0.0151,135.0119,88.385,2227.554,9.6177
